id,name,surname,club,categories
,Bartosz,KOTRA,Bochnia/Centrum Kettlebell Bochnia,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Tomasz,KOWALCZYKIEWICZ,Pleszew/Hardstyle studio,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Paweł,KRUZEL,Świerklaniec,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Michał,KUCZEWSKI,Bolesławiec/Teamsobala,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Przemysław,KUDZIŃSKI,Brzeg Dolny/Best Move,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Adrian,KUŚMIERZ,Kraśnik/CKB Kraśnik,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Przemysław,LENARCIK,Wrocław/Konkret team,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Adrian,MADEJ,Opole,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Bartłomiej,MAŁAŃCZUK,Łódź/Trening jest celem,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Przemysław,MARCHAL,Kołobrzeg/Centrum Kettlebell Kołobrzeg,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Albert,MARKWAT,Kęty/Dorian FC,"Amator Mężczyzn 85 kg / Man Amateur 85 kg,Masters +45 Mężczyzn / Man Masters +45"
,Kacper,NIECHWIADOWICZ,Ząbkowice Śląskie/Teamsobala,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Oliwier,NIECHWIADOWICZ,Ząbkowice Śląskie/Teamsobala,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Dariusz,NOSAL,Perła/Centrum Kettlebell Bochnia,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Krzysztof,OBARSKI,Środa Wielkopolska/Orange Fintess Club,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Piotr,OPRZĄDEK,Kraków,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Mikalai,PALIAKOU,Łódź/Dzik Komando,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Piotr,PAROL,Jaktorów-Kolonia,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Piotr,RÓZGA,Łódź/Bajera Team,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Paweł,STĘPIEŃ,Gdańsk/CKB Gdańsk,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Michał,TERESZKIEWICZ,Tychy/Centrum Kettlebell Tychy,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Martin,TOMEK,Malacky/Słowacja,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Michał,TUREK,Oborniki/Teamsobala,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Dominik,TUROŃ,Krosno/Iron crew,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Tomasz,WAWRZYNIAK,Jelenia Góra/CKB Jelenia Góra,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Maciej,WĄSACZ,Sosnowiec,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Szymon,WOJDA,Łódź/Dzik Komando,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Marcel,WOŹNIAKOWSKI,Ząbkowice Śląskie/Teamsobala,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Norbert,WYRWA,Kęty/Dorian FC,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Artur,JANIUK,Gdańsk/CKB Gdańsk,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Piotr,GÓRA,Kielce,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Adam,BARTKIEWICZ,Ząbkowice Śląskie/Teamsobala,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Piotr,LIPA,Warszawa/Hardstyle Warszawa,"Amator Mężczyzn 85 kg / Man Amateur 85 kg,Masters +45 Mężczyzn / Man Masters +45"
,Aleks,MULKA,Ząbkowice Śląskie/Teamsobala,"Amator Mężczyzn 85 kg / Man Amateur 85 kg,Junior 16 Chłopców / Boys Junior 16"
,Kacper,PARDYLA,Gliwice/CKB Gliwice,"Amator Mężczyzn 85 kg / Man Amateur 85 kg,Junior 16 Chłopców / Boys Junior 16"
,Radosław,CHUDZIKOWSKI,Ząbkowice Śląskie/Teamsobala,Junior 16 Chłopców / Boys Junior 16
,Mateusz,FILAK,Ząbkowice Śląskie/Teamsobala,Junior 16 Chłopców / Boys Junior 16
,Eryk,KOWALCZYKIEWICZ,Pleszew/Hardstyle studio,Junior 16 Chłopców / Boys Junior 16
,Igor,KRZESZOWSKI,Ząbkowice Śląskie/Teamsobala,Junior 16 Chłopców / Boys Junior 16
,Szymon,MOCZKO,Ząbkowice Śląskie/Teamsobala,Junior 16 Chłopców / Boys Junior 16
,Błażej,PAWLIK,Ząbkowice Śląskie/Teamsobala,Junior 16 Chłopców / Boys Junior 16
,Jakub,STĘPIEŃ,Ząbkowice Śląskie/Teamsobala,Junior 16 Chłopców / Boys Junior 16
,Basia,BARYLAK,Ząbkowice Śląskie/Teamsobala,Junior 16 Dziewcząt / Girls Junior 16
,Liwia,BIEŃKA,Ząbkowice Śląskie/Teamsobala,Junior 16 Dziewcząt / Girls Junior 16
,Martyna,FILAK,Ząbkowice Śląskie/Teamsobala,Junior 16 Dziewcząt / Girls Junior 16
,Klaudia,GUZIOŁEK,Góra/Animal King,Junior 16 Dziewcząt / Girls Junior 16
,Oliwia,IWAŃCIÓW,Ząbkowice Śląskie/Teamsobala,Junior 16 Dziewcząt / Girls Junior 16
,Lena,MACIEJEWSKA,Ząbkowice Śląskie/Teamsobala,Junior 16 Dziewcząt / Girls Junior 16
,Aleksandra,MAJCHRZAK,Góra/Animal King,Junior 16 Dziewcząt / Girls Junior 16
,Antonina,NOWACKA,Ząbkowice Śląskie/Teamsobala,Junior 16 Dziewcząt / Girls Junior 16
,Paulina,PRZYBYŁO,Ząbkowice Śląskie/Teamsobala,Junior 16 Dziewcząt / Girls Junior 16
,Sandra,SYNOWIEC,Ząbkowice Śląskie/Teamsobala,Junior 16 Dziewcząt / Girls Junior 16
,Wiktoria,ŚWIDZIŃSKA,Ząbkowice Śląskie/Teamsobala,Junior 16 Dziewcząt / Girls Junior 16
,Maja,WOŹNIAKOWSKA,Ząbkowice Śląskie/Teamsobala,Junior 16 Dziewcząt / Girls Junior 16
,Weronika,KURTYKA,Ząbkowice Śląskie/Teamsobala,Junior 16 Dziewcząt / Girls Junior 16
,Agnieszka,BRYG,Ljubgby/Szwecja,Pro Kobiet +65 kg / Woman Professional +65 kg
,Anita,GODŁOZA,Mińsk Mazowiecki,Pro Kobiet +65 kg / Woman Professional +65 kg
,Renata,GULBINOWICZ,Krekole/Bartoszyce,Pro Kobiet +65 kg / Woman Professional +65 kg
,Agnieszka,GWIAZDOWSKA,Kraśnik/CKB Kraśnik,Pro Kobiet +65 kg / Woman Professional +65 kg
,Katarzyna,KAPUŚNIAK,Warszawa/Hardstyle Warszawa,Pro Kobiet +65 kg / Woman Professional +65 kg
,Kinga,KOPROWSKA,Łowicz,Pro Kobiet +65 kg / Woman Professional +65 kg
,Natalia,LENDA,Świnoujście/Cisowski studio siły i sprawności,Pro Kobiet +65 kg / Woman Professional +65 kg
,Joanna,ŁUKASIAK-CHEŁSTOWSKA,Warszawa,Pro Kobiet +65 kg / Woman Professional +65 kg
,Kamila,MYŚLAK,Muszyna/Teamsobala,Pro Kobiet +65 kg / Woman Professional +65 kg
,Paula,SIWIK,Pisz/Infinity Gym,Pro Kobiet +65 kg / Woman Professional +65 kg
,Joanna,STASIŃSKA,Lidzbark Warmiński/Iron heart,"Pro Kobiet +65 kg / Woman Professional +65 kg,Masters +45 Kobiet / Woman Masters +45"
,Edyta,ZASIMOWSKA,Koszalin/Lumberjacks Cross Garage,"Pro Kobiet +65 kg / Woman Professional +65 kg,Masters +45 Kobiet / Woman Masters +45"
